Puerto,Descripcion,Recomendacion
21/tcp,"Conexiones a servidores FTP en su canal de control, salvo que se cambie el puerto de escucha de FTP o FTPES.",Considera deshabilitarlo o limitar el acceso a usuarios especificos debido a su falta de cifrado en conexiones FTP. Utiliza FTPS para mayor seguridad.
22/tcp,"Conexiones seguras SSH y SFTP, salvo que se cambie el puerto de escucha de SSH.",Asegurate de que solo este accesible desde redes confiables y deshabilita el acceso por contrasena en favor de autenticacion por clave. Cambia el puerto por defecto si es posible.
23/tcp,"Telnet, para conexion remota con otro equipo mediante linea de comandos. No seguro, ya que envia autenticacion y datos sin cifrar.","Deshabilita Telnet, ya que no es seguro. Utiliza SSH en su lugar para conexiones remotas seguras."
25/tcp,"Protocolo SMTP para envio de correos electronicos, aunque tambien puede usar los puertos 26 y 2525.",Asegurate de que el servidor de correo este configurado para evitar el envio de spam y considera el uso de SMTP autenticado.
53/tcp,Servicio DNS (Domain Name System).,Limita el acceso al servicio DNS y utiliza DNSSEC para mejorar la seguridad.
80/tcp,Navegacion web no segura (HTTP).,Redirige el trafico HTTP al puerto 443 (HTTPS) para cifrar las conexiones.
101/tcp,Servicio Hostname para identificar el nombre de los equipos.,Limita su uso solo a redes internas de confianza.
110/tcp,Usado por gestores de correo electronico para conexion con el protocolo POP3.,Considera usar el puerto 995 (POP3 SSL) para conexiones seguras.
123/tcp,Utilizado por NTP (Protocolo de tiempo en red) para sincronizar dispositivos en Internet.,Asegurate de que los dispositivos NTP esten correctamente configurados y limita el acceso a redes internas de confianza.
137/tcp,"Utilizados por el Protocolo NetBIOS o NBT, muy comun en redes de Windows.",Evita exponer estos puertos a Internet. Utilizalos solo en redes internas o de confianza.
139/tcp,"Utilizados por el Protocolo NetBIOS o NBT, muy comun en redes de Windows.",Evita exponer estos puertos a Internet. Utilizalos solo en redes internas o de confianza.
139/tcp,"Utilizados por el Protocolo NetBIOS o NBT, muy comun en redes de Windows.",Evita exponer estos puertos a Internet. Utilizalos solo en redes internas o de confianza.
143/tcp,Usado por el protocolo IMAP en gestores de correo electronico.,Considera el uso de IMAP SSL (puerto 993) para asegurar la conexion de correo.
179/tcp,"Protocolo de puerta de enlace fronteriza (BGP), utilizado en redes para mantener tablas de enrutamiento.",Limita el acceso a redes confiables y utiliza autenticacion en BGP si es posible.
